Screen Name;Full Name
@alexandr_monday;Alexander Monday
@akamran111;Kamran Ali
@Liberal_TX;TX LIB If you wanna die, Trump is your guy!
@dcal4570;dcal4570
@BBopTop;Barb: Vote OUT that Demented Narcissist & the GOP
@TPPNewsOfficial;The Pakistan Post
@chssc1967;@chssc
@Tellawi;Nizam Tellawi
@Deeds46820608;Deeds💙⚽🌊🍸
@Oz_Kabotji;Oz Kabotji
@Rajan8998;DoGood - $LINK, a game changer!
@TCanseeyou;Tommy resistance- Listening to you!
@moremitmita;ye melata lij
@but_their;But Their Emails!
@PuneSuperGiant;SureShotCalls
@denisepets;Daniellapets
@MB3252;Mike B
@LargeUglyGuy;abiguglyguy
@KendraDrake94;Kendra Drake 🌊 Proud Democrat 🌊
@jjsmokkieBOY57;juju
@WatsupAmericas;WatsupAmericas
@finestcuts;Terry 特瑞
@ish_kee;TALKIN' ISH w/ KEE & E
