Date;Tweet Text;Tweet ID;Screen Name
12/08/2020 17:10;I have heard that when Clinton or Blair entered a room you could feel the electricity when Putin walks in you can smell the fear when Williamson walks in people become narcoleptic RT mrjamesob In a crowded field sitting your A levels in Autumn is the stupidest idea The first thing I learned in today s phone in was that students stopped studying when the exams were cancelled in March It s obvious when you think about it But not obvious enough for Gavin Williamson ;1293671265404887041;@nigel_revell
12/08/2020 17:10;early s NATO basically saw Putin as an ally in their game to destroy and privatize the last remnants of Soviet institutions in Belarus my theory is they still do to an extent RT paulkleinfancam Unified NATO approach to more effectively put pressure on Russia Use Russian TV stations for psyops directed at the Belarusian viewership ;1293671254092926977;@LizardGirl0
12/08/2020 17:10; InsteadOfMasks we should make Vladimir Putin ruler of the world;1293671171498573824;@Brandon20105199
12/08/2020 17:10;Because it s Putin s puppet Trump occupying our White House VoteBlue RT McFaul Why is the West so silent ;1293671169762242562;@PeggyAbrahamson
12/08/2020 17:09;What an utterly corrupt Barr Flynn sold us out and everyone knows it Putin must be loving the decision emptywheel chipfranklin ProjectLincoln JRubinBlogger RT harrylitman OK sports fans based on yesterday s argument before the full DC court of appeals the court is going to rule against Michael Flynn and the DOJ but Flynn will still be sprung unjustly in fairly short order My latest oped for the latimes ;1293671088509992961;@TheScottLove
12/08/2020 17:09;TRUMP ALLOWS SNIPER RIFLE SILENCERS TO BE SOLD TO FOREIGN ARMS DEALERS READ PUTIN s GRU Inside the White House a Gun Industry Lobbyist Delivers for His Former Patrons;1293671074484441093;@carman17838926
12/08/2020 17:09;Good raise taxes on the rich bring back Obamacare but at free coverage bring back the economy stop the death of lives that the gop destroyed GOP Gang of Putin realDonaldTrump RepAdamSchiff SenCoryGardner SpeakerPelosi GOPLeader GOPSenate JoeBiden RT GOPChairwoman Biden and Harris want to raise your taxes eliminate your health plan and send your utility bills through the roof That s not for the people It s for the radical left ;1293671062543065093;@ssguffey
12/08/2020 17:09;PUTIN Is Shaking In His Boots Because He Knows If TRUMP Goes Down Hell Loose Favor With The People That Really Controls RUSSIA He Might Be Going For A One Way Fishing Trip ;1293671029131235329;@bobcarr58684439
12/08/2020 17:09;Um Hillary bought the fake dossier from Putin genius RT craig Boognish thehill The only people still talking about the dossier are idiot Trumpers who believe Putin over US Intelligence;1293670916166221827;@Boognish12
12/08/2020 17:08;Yep my Putin RT korol koshek RomanaVolny Putin is a Russian Saint and the Devils of the Nazi West gnash their teeth in Hell ;1293670753381109760;@RomanaVolny
12/08/2020 17:08;The Republican Presidential nominee Trump will be the most Russian Red Putin asset our country has ever seen RT VoteMarsha Kamala Harris will be the most liberal left wing nominee for Vice President our country has ever seen ;1293670648737337351;@Lemieux1150Jane
12/08/2020 17:08;Winning FakaktaSouth donald j putin MajorSnowflake Rddedhd RT carriemelago Schools in Memphis can stay open until coronavirus positivity rate hits Twenty Five Percent ;1293670613169647617;@Robertamnesia
12/08/2020 17:07;Trump alignment with Taiwan is dangerous and orchestrated by putin;1293670585298452486;@thetruthtoliar1
12/08/2020 17:07;Donnie can t call Kamala Nasty You already gave that name to Hillary Now if you call Hillary and ask her if she would share the name with Kamala Then we ll print the t shirts I m telling U you have to teach these Trumps everything Putin I thought you had this under control ;1293670566692618248;@mommacorner
12/08/2020 17:07;Liar IvankaTrump you moved to Washington DC to enrich yourself Everybody knows it If you can t say something without telling a lie don t say anything at all And anyway nobody wants your kind of help unless they are the mafia or Putin RT truthshallwhat We don t want your help or even asked for it IvankaTrump;1293670521159192576;@RadioFlyer1101
12/08/2020 17:07;Why hasn t Putin tried his new miracle drug Why isn t Putin sharing with his good buddy trump RT robreiner Trump s BFF announces a Covid vaccine Trump should honor him by taking the first dose then start working at a meat packing plant ;1293670492704890880;@Sheryl23373427
12/08/2020 17:07;Would it take it That s a hard FVCK NO How much do you want to bet that Trumps going to force it on the American people claiming that it s from Moderna or Novartis or somewhere I ll take a vaccine it it is vetted by Biden s people ;1293670385611726849;@Bizypawz
12/08/2020 17:06;That s why so many of my friends now call it the TrumpVirus We d go for Putin but realDonaldTrump has personally screwed America PressSec GOP senatemajldr RT Yamiche Another line from Kamala Harris speech that went directly to Pres Trump His flip flopping on social distancing wearing masks His delusional belief that he knows better than the experts All of that is reason amp the reason that an American dies of COVID every seconds ;1293670275029127168;@MacGregorGarlic
12/08/2020 17:06; BernieSanders It s obvious that Dictator Trump does not think to apply or does not care to apply the Golden Rule when it applies to politics His focus now is to use every lever of power available to him to win re election in and that includes cheating and Putin s help RT BernieSanders Unlike the very stable genius I m not a religious scholar But somewhere I read that pathological lying and providing tax breaks for the rich while ignoring the pain of the hungry the homeless and the sick is not exactly following the golden rule ;1293670216132521984;@EveCanadienne
12/08/2020 17:06;cThe best policy moving forward Ignore Putin s poison for our politics online Just ignore it Pass it by Don t react Don t refute Just block it and move on It s utterly unworthy of your time attention and energy ;1293670123010772993;@TomVMorris
12/08/2020 17:06;Russia s COVID vaccine is designed to give Vladimir Putin a ratings boost no matter what the cost Please There is no Russian vaccine It s all bullshit Putin is full of as much crap as Trump I mean they are truly made for one another Get a room Ha ;1293670095495901185;@iamtogtogiam
12/08/2020 17:05;Yes actually we did When Putin put out his b s bogus vaccine notice You just knew Trump was be all over it by today RT ImpeachmentHour So Trump says the US will buy doses of an untested unproven Russian Covid vaccine Anybody see this coming ;1293670073903624194;@JilWaters
12/08/2020 17:05;Oh and while I m at it save your breath I will never vote for THE RUSSIAN FEDERATION OF THE REPUBLICAN PARTY OF THE USA And I won t take Putin s vaccine RT GOPChairwoman Biden and Harris want to raise your taxes eliminate your health plan and send your utility bills through the roof That s not for the people It s for the radical left ;1293670055423676420;@sheron_spikes
12/08/2020 17:05;Putin responds to Biden selecting Kamala Harris for VP ;1293670012004102144;@BobRmhenry1
12/08/2020 17:05;She told of the truth here She always does When Putin stole the job for dump our economy had been running beautifully Shortly thereafter dump took his first bow for his accomplishment He s ruined us now Take a bow idiot boy You re crazy nasty RT TheRickyDavila Kamala Harris trump inherited the longest economic expansion in history from Barack Obama and Joe Biden And then like everything else he inherited he ran it straight into the ground ;1293669974842568704;@LvCa2
12/08/2020 17:05;So Putin has a new vaccine does he ;1293669887664173056;@fesi_df
