,Twitter Query: #VotoDeConfianza lang:es -filter:retweets -filter:replies,,,,,,,,,,,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
12/08/2020 10:07,@virgilio_acuna,Virgilio Acuña,El #votodeconfianza al gabinete de @WalterMartos no significa olvidarse de la destrucción económica y ética que hizo la empresa #Odebrecht,1293564739050774528,,,,2,2,Twitter for iPhone,9164,394,69,,25/06/2010,Peru,"Ingeniero, político, excongresista del Perú. Comprometido con el desarrollo digital y la creatividad para abrir horizontes.",,,View
12/08/2020 10:05,@ImpulsoPais,Impulso País,"⚠️ #VotoDeConfianza #LoÚltimo Con 115 votos a favor, 5 en contra y 4 abstenciones, el @congresoperu otorga la confianza al gabinete presidido por Walter Martos (@WalterMartosR). Fuente: Transmisión en vivo del pleno virtual del Congreso vía CongresoTV ▶️",1293564312821411843,,https://pbs.twimg.com/media/EfOpwG9XgAUtqb-.jpg,,4,5,Twitter Web App,5514,106,9,,28/07/2018,Peru,"Asociación civil sin fines de lucro 🇵🇪 Aprender, enseñar, hacer y compartir 🙌",https://www.facebook.com/impulsopais/,,View
12/08/2020 09:57,@peruenlanoticia,#Noticias #Perú🇵🇪😷☣️,Martín Tanaka: Los problemas del Gobierno tienen que ver con la implementación de sus políticas  #votodeconfianza #WalterMartos,1293562270945927169,http://dlvr.it/RdVxyQ,https://pbs.twimg.com/media/EfOoB8wVAAAJTzS.jpg,,1,0,dlvr.it,55304,12650,256,,17/02/2014,#PERÚ / EUROPA / #ASIA / LatAm,#AlertaNoticias #Trump #Covid #AFP #Odebrecht #Política @elcomercio_peru @CanalN_ @larepublica_pe @rppnoticias,https://twitter.com/peruenlanoticia,,View
12/08/2020 09:17,@FrancoChamo,Franco Chamochumbi,"Como siempre @ocram super claro en #LaEncerrona Ahora sobre la carrera de la vacuna y el humo echan en el camino, por ejemplo Putin anunciando su vacuna que recién está en fase 1. También el curioso #VotoDeConfianza y la crisis de oxígeno",1293552181111656449,https://www.youtube.com/watch?v=0iSAQfgNTsE,,,2,0,Twitter Web App,237,482,3,,1/01/2010,Lima,"Políticamente comprometido con mi país, se busca partido afín. Convencido total del poder de una buena educación y la necesidad de mejorarla en Perú y Latam",,,View
12/08/2020 09:12,@stereovilla_ves,Radio Stereo Villa,"🔵 #VotoDeConfianza| Juan De La Puente: ""Tengo la sensación que los adversarios cansados se han abrazado pero la tensión creo que continúa. Este rebote de los 115 votos lo que hace es construir un consenso pequeño al interior una crisis muy grande"". ➡",1293550989992173568,https://cutt.ly/kd04zg2,https://pbs.twimg.com/media/EfOdwGJWsAAhqCH.jpg,,0,1,Twitter Web App,1271,714,14,,1/06/2011,Perú,"Somos radio Stereo Villa de Villa El Salvador, la radio musical e informativa de Lima Sur. 📻 #StereoVilla 107.7 Fm. Suena Mejor! 🎵🎧",http://stereovilla.pe/,,View
12/08/2020 09:06,@DiarioElPeruano,Diario El Peruano,"📍 Consejo de Ministros obtuvo el #VotoDeConfianza del Congreso luego de escuchar y debatir la política general de gobierno expuesta por el jefe del Gabinete Ministerial, Walter Martos  ➡Voceros parlamentarios resaltan exposición del plan de gobierno",1293549512590536714,https://bit.ly/2PRZJPT,https://pbs.twimg.com/media/EfOcK8cXkAEC5Wz.jpg,,2,8,TweetDeck,227505,326,511,✅,14/10/2015,Peru,Cuenta del Diario Oficial El Peruano y las #NormasLegales. Sigue también @agencia_andina #PrimeroMiSalud y #LávateLasManos,http://www.elperuano.pe,,View
12/08/2020 09:04,@CanalHsj,Vil Oficio en la Mira🔭,"Pueden informar si Vicente Zeballos aun sigue en Palacio...? 🤔 De ser así, el @congresoperu solo le habría dado un #VotoDeConfianza a un Gabinete REVUELTO.. 😡 RT @PanamericanaTV: #EnVivo | Presidente Vizcarra saludó voto de confianza a Gabinete Martos. Míranos EN VIVO ►  #PanamericanaNoticias #Bdp",1293548916894564354,"https://twitter.com/PanamericanaTV/status/1293531948275695618
http://ptv.pe/vivo",https://pbs.twimg.com/media/EfOMc7QWoAASAB-.jpg,,0,0,Twitter for Android,103,384,0,,4/10/2019,,"Para mi una izquierda, centro o derecha Decente, es la que se aparta del comunismo rabioso y se apesta de los Caviares y Hueveras..🤧",,,View
12/08/2020 08:49,@HernanR19444885,Rafael - Hernan,"Simplemetente tratan temas de economía y siempre a favor de las grandes empresas, pero hasta el momento no sabemos los peruanos cuales serán las estrategia en el sistema salud. #VotoDeConfianza #WalterMartos",1293545075151175682,,,,0,0,Twitter for Android,130,1334,0,,27/03/2019,,La politica es psiquica y de mucha paciencia ... si le das muchas vueltas te volveras loco .,,,View
12/08/2020 08:31,@Agencia_Andina,Agencia Andina,"📌Jefe del Gabinete Ministerial, Walter Martos, formuló diversos anuncios durante su presentación ante el Congreso, en la que expuso su política general de Gobierno y se le otorgó el #VotoDeConfianza. Estos son los más importantes👉",1293540569399070720,https://bit.ly/3kNkJpw,https://pbs.twimg.com/media/EfOT_P9XkAALriB.jpg,,2,1,Twitter Web App,613776,1681,2150,✅,18/05/2009,Lima,Sigue las noticias sobre Perú y el mundo en la Agencia Peruana de Noticias Andina. También puedes seguir a @DiarioElPeruano #PrimeroMiSalud y #LávateLasManos,http://www.andina.pe,,View
12/08/2020 08:30,@manuelaguilarap,Manuel Aguilar,"El #VotoDeConfianza al Gabinete que encabeza el presidente del Consejo de Ministro, @WalterMartosR; busca aunar esfuerzos para trabajar en soluciones inmediatas que la población hoy necesita, el desarrollo de nuestro país debe seguir. #BancadaAcciónPopular #ManuelAguilar",1293540390885351424,,https://pbs.twimg.com/media/EfOUICjWsAcwojh.jpg,,1,1,Twitter for Android,158,30,4,,16/03/2020,San Martín,"Congresista de la República del Perú, para el periodo 2020 - 2021 por la Región San Martín.",,,View
