Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
11/08/2020 21:33,@pilicefri,Pilar Celi Frías 🌻,"Muy interesante el discurso de @WalterMartosR hablando de ambiente, economía verde y circular, pueblos originarios y demás temas que deben ser prioritarios en los mensajes, decisiones y participaciones. Esperemos entonces las acciones acordes con el discurso #VotoDeConfianza",1293375025358217217,,,,0,2,Twitter for Android,1345,865,23,,19/11/2009,Lima - Perú,Periodista @conexioncop Escribo➡️ #cambioclimático 🌍 #derechos #ambiente #género #desarrolloindígena 💚🌱 #fotografía 📷 Premio Voices To Paris 2015 🥇,https://pe.linkedin.com/in/pilar-celi-fr%C3%ADas-82b73a68,,View
11/08/2020 21:33,@RicardoAguisaa,Ricardo Aguilar Saavedra,"Una constante en la historia peruana ha sido la precariedad política. Mensaje más claro, imposible: Martes 03/08 (Cateriano) : 37 votos Martes 11/08 (Martos) : 115 votos No se vota por programas, sino por pasiones y devociones. Nada ha cambiado 200 años después. #VotoDeConfianza",1293375025165336576,,https://pbs.twimg.com/media/EfL9ui-XkAECEZk.jpg,,4,3,Twitter for Android,152,780,3,,28/07/2011,"Lima, Peru",Historiador 📖 Afroperuano 🇵🇪Especialista en Relaciones Internacionales 🌎,https://about.me/ricardoaguilarsaavedra,,View
11/08/2020 21:33,@OswaldoVargasC,Oswaldo Vargas Cuellar,"115 votos a favor, 5 en contra, 4 abstenciones. El Gabinete Ministerial obtuvo la democracia #VotoDeConfianza, abriendo camino a un trabajo con un solo objetivo. Nuestros compatriotas lo necesitan",1293374968189923330,,,,0,0,Twitter Web App,170,398,1,,26/12/2013,Cono Este,Ing. Químico - UNI Maestría en Administración Pública-Universidad Continental - Instituto Orteg y Gasset España. Maestría en Proyectos de Inversión - UNI Perú.,,,View
11/08/2020 21:32,@minagriperu,MINAGRI - PERÚ,#ElPerúPrimero | Hoy el Gabinete del Premier @WalterMartosR recibió el #VotoDeConfianza del @congresoperu . ¡Desde nuestro sector seguiremos trabajando en favor de nuestras agricultoras y agricultores del país! 🇵🇪,1293374865194573826,,https://pbs.twimg.com/media/EfL9ZX7XsAERjbg.jpg,,3,14,Twitter Web App,206648,997,539,✅,6/04/2010,Peru,#PerúEstáEnNuestrasManos #PrimeroMiSalud Cuenta oficial del Ministerio de Agricultura y Riego del Perú.,http://www.minagri.gob.pe,,View
11/08/2020 21:32,@MadameTempestad,Pamela 🇵🇪 🏳️‍🌈,"Esperen al jueves #VotoDeConfianza RT @2020N_: [EN VIVO] Campos: ""Lo que llama la atención, es la rapidez con que las bancadas han cambiado de opinión"" #2020N vía @canalN_",1293374827466838016,https://twitter.com/2020N_/status/1293374666493562880,,,0,2,Twitter for Android,2102,685,14,,6/02/2009,Lima,Alianza Lima 💜💜💜 Disléxica Pelirroja bamba,,,View
11/08/2020 21:32,@RicardoMor18,Ricardo Morales,"Muchos peruanos hemos dejado a un lado nuestras posturas económicas ante la crisis Pero cuando se inculta una DOCTRINA CERRADA a los militantes, donde aquel q discrepa es etiquetado como TRAIDOR, es difícil hacerlo o no Frente Amplio #VotoDeConfianza Walter Martos",1293374776896106498,,https://pbs.twimg.com/media/EfL8BWhWAAYU77w.png,,0,0,Twitter Web App,144,224,0,,15/03/2016,Peru,"A favor de la Unión civil, aborto solo por violación y la inversión privada. 🚫Ni el fujimorismo ni la izquierda porque valoro la libertad",,,View
11/08/2020 21:30,@agentesecret,Marilyn Alvarado,"#LoÚltimo Lo que queda claro del #VotoDeConfianza es que cualquiera es menos antipático que Cateriano para el Congreso o que Martos o #WalterMartos los intimido con encerrarlos con el pretexto de la Pandemia, eso lo sabremos sino interpelan a #ToniAlva y Martín Benavides.Veremos!",1293374293623975936,,https://pbs.twimg.com/media/EfL9ENMU8AA2BSw.jpg,,3,5,Twitter for iPhone,393,199,61,,24/05/2012,Peru,"#INVENTOR, #SerialEntrepreneur CEO & Founder of @socialmeetclub & #TheEternalDistortion, Digital Strategist, Global Shaper. I'm working to change the world #SEO",http://pe.linkedin.com/in/marilynalvarado,,View
11/08/2020 21:30,@SimonDice12345,Simon Dice:,El congreso ha rechazado a un liberal como Cateriano para optar por un militar como Martos para premier. #VotoDeConfianza #GabineteMartos,1293374236640378885,,,,0,0,Twitter for iPhone,888,245,35,,5/07/2011,,"Un poco de todo, casi perfecto pero con defectos, al final todos sin excepción llegaremos al mismo sitio.",,,View
11/08/2020 21:30,@___Unidentified,Jorge,"O sea, el problema no era el gabinete sino Cateriano y su discurso fuera de contexto. 115 votos para el gabinete de Walter Martos es histórico. #VotoDeConfianza RT @Politica_LR: #LOÚLTIMO Pleno de Congreso otorga el voto de confianza al gabinete de Walter Martos",1293374152611696640,"https://twitter.com/Politica_LR/status/1293362416915554314
https://larepublica.pe/politica/2020/08/11/congreso-otorga-el-voto-de-confianza-al-gabinete-de-walter-martos/",,,0,0,Twitter Web App,248,287,7,,22/05/2009,Lima,Desarrollar aplicaciones es para mi una deliciosa sensación. Es como un paseo por tierra para un navegante que lleva mucho tiempo en el mar.,,,View
11/08/2020 21:29,@warneriusko,Warner,Al fin ! CUADRUPEDOS del congreso le dan #VotoDeConfianza al gabinete de WALTER MARTOS dizque 'sin cheque en blanco' .FARISEOS!! Al menos FRENTE AMPLIO voto en contra por conviccion.,1293374129060577280,,,,0,3,Twitter Web App,602,356,1,,19/06/2016, ciudadano universal,"Polemico, irreverente y pocas veces coincidente",,,View
11/08/2020 21:29,@yomarmelendez,Yomar Meléndez,"#VotoDeConfianza Algunas cosas x comentar: Una, el alto número de votos a favor (115 congresistas es bastante relevante); dos, las interpelaciones a lxs ministrxs de Educación y Economía han perdido muchísima fuerza y ya casi no se habla de censura. Gran victoria de Walter Martos",1293374100476502016,,,,0,0,Twitter for Android,2359,2979,11,,26/01/2010,,"Abogado, especialista en Negociación, Prevención, Gestión y Transformación de Conflictos.",,,View
11/08/2020 21:29,@MarioEdgarRios,Mario Edgar ,"El @congresoperu da #VotoDeConfianza sin exigir un giro en la estrategia de lucha contra el #Covid19. No hay oxígeno en los hospitales. Tenemos 200 fallecidos por día. Se disparan los contagios en el país, y el gobierno no articula una respuesta sanitaria efectiva.",1293374077693038593,,,,4,7,Twitter Web App,89,41,0,,30/06/2013,,Ser del mejor equipo del Perú,,,View
11/08/2020 21:29,@DianaMiloslavic,DianaMiloslavicTupac,"El país necesitaba una tregua y es lo que votaron 115 el #VotoDeConfianza es eso, confiar en que cumplan lo prometido,la abstención serán las dudas históricas en un país fragmentado desigual empobrecido @pavese @MirtyVas @CMPFloraTristan RT @noticias_tvperu: Con 115 votos a favor, 5 en contra y 4 abstenciones se otorgó el voto de confianza al Gabinete Ministerial liderado por @WalterMartosR. Conoce la distribución de votos de las bancadas del Congreso de la República. ►  #VotoDeConfianza",1293374077328150528,"https://twitter.com/noticias_tvperu/status/1293367292370264064
https://bit.ly/3kIHtHh",https://pbs.twimg.com/media/EfL2aCBXsAgSLQ4.jpg,,1,2,Twitter Web App,1704,679,7,,20/01/2012,"Lima, Peru",Feminista activista Coordina Programa Participación Política @CMPFloraTristan Vocera @paridadperu.Red de Mujer y Habitat AL Estudió Literatura e Historia UNMSM.,http://flora.org.pe,,View
11/08/2020 21:29,@danielfolivares,Daniel Olivares,"Se dio la confianza. Ayudó mucho un discurso práctico, regionalista y de unidad. El reto es que la unidad no dure solo un día. Toca que Ejecutivo y Congreso hagan política en el mejor de los sentidos: ver puntos en común, ceder un poco y trabajar para la gente. #VotoDeConfianza",1293373971954569216,,,,20,113,Twitter Web App,19662,1355,42,,15/03/2011,,Progresista. Congresista por Lima. Las cosas solo cambian cuando presionamos colectivamente. Instagram: @danielolivarescortes,,,View
11/08/2020 21:27,@elblogdebinario,BiNaRiO,"¿Se acuerdan qué canal se la pasó lloriqueando por Cateriano?. Miren quién es su primera invitada para analizar el #VotoDeConfianza. RT @RPPNoticias: 🔴 ¡EN VIVO en ""Nada Está Dicho"" con @JaimeChincha! ▶️ María Isabel León, presidenta de la CONFIEP: ""El Premier Martos es una persona dialogante y correcta"". 🗣️ RPP, #LaVozDelPerú 🇵🇪 📺 ► Canal 10 - 710 HD Movistar",1293373580743454723,https://twitter.com/RPPNoticias/status/1293373211355369474,https://pbs.twimg.com/media/EfL8EyAXYAAN9ck.jpg,,4,8,TweetDeck,8602,4356,116,,1/06/2007,"Lima, Perú","Comunicador audiovisual del día a día, administrador de profesión. Me interesa la política. De izquierda gramsciana. Militante @sembrarperu del @FrenteAmplioPe",http://www.facebook.com/elblogdebinario,,View
11/08/2020 21:27,@RecuerdosPeru,Memorex📺®,"Tanto circo hicieron y votaron 115 votos a favor, 5 en contra, 4 abstenciones. Definitivamente ser payasos les da beneficio #VotoDeConfianza",1293373463038693378,,,,18,97,Twitter for iPhone,57913,0,92,,19/04/2016,"Lima, Peru ","#Memorex📺 - Tu canal digital de noticias, #Síguenos y estarás al día de la verdadera historia del país.",http://bit.ly/2cusRXJ,,View
